"model_a","model_b","paired_tasks","success_rate_a","success_rate_b","success_rate_difference_a_minus_b","bootstrap_ci95_low","bootstrap_ci95_high","a_only_successes","b_only_successes","exact_mcnemar_pvalue","bootstrap_samples"
"arfa-qwen2.5-coder:7b-8k","arfa-llama3.1:8b-8k","200","0.26","0.255","0.005","-0.06","0.065","22","21","1.0","10000"
"arfa-qwen2.5-coder:7b-8k","arfa-qwen2.5-coder:14b-8k","200","0.26","0.4","-0.14","-0.205","-0.075","10","38","6.169640777642371e-05","10000"
"arfa-qwen2.5-coder:7b-8k","arfa-llama3.2:3b-8k","200","0.26","0.18","0.08","0.01","0.15","34","18","0.03648340000835981","10000"
"arfa-qwen2.5-coder:7b-8k","arfa-gemma3:4b-8k","200","0.26","0.26","0.0","-0.065","0.065","22","22","1.0","10000"
"arfa-qwen2.5-coder:7b-8k","arfa-gemma3:12b-8k","200","0.26","0.315","-0.055","-0.12","0.01","17","28","0.1351564508456704","10000"
"arfa-qwen2.5-coder:7b-8k","arfa-phi4-mini:3.8b-8k","200","0.26","0.125","0.135","0.065","0.205","40","13","0.0002685401188191605","10000"
"arfa-qwen2.5-coder:7b-8k","arfa-phi4:14b-8k","200","0.26","0.255","0.005","-0.065","0.075","26","25","1.0","10000"
"arfa-llama3.1:8b-8k","arfa-qwen2.5-coder:14b-8k","200","0.255","0.4","-0.145","-0.21","-0.08","10","39","3.845911694355664e-05","10000"
"arfa-llama3.1:8b-8k","arfa-llama3.2:3b-8k","200","0.255","0.18","0.075","0.01","0.14","30","15","0.035697803555194696","10000"
"arfa-llama3.1:8b-8k","arfa-gemma3:4b-8k","200","0.255","0.26","-0.005","-0.075","0.065","25","26","1.0","10000"
"arfa-llama3.1:8b-8k","arfa-gemma3:12b-8k","200","0.255","0.315","-0.06","-0.125","0.005","17","29","0.10380535550410741","10000"
"arfa-llama3.1:8b-8k","arfa-phi4-mini:3.8b-8k","200","0.255","0.125","0.13","0.065","0.195","39","13","0.00040954145378258033","10000"
"arfa-llama3.1:8b-8k","arfa-phi4:14b-8k","200","0.255","0.255","0.0","-0.07","0.07","26","26","1.0","10000"
"arfa-qwen2.5-coder:14b-8k","arfa-llama3.2:3b-8k","200","0.4","0.18","0.22","0.155","0.29","51","7","2.402164578363397e-09","10000"
"arfa-qwen2.5-coder:14b-8k","arfa-gemma3:4b-8k","200","0.4","0.26","0.14","0.065","0.21","43","15","0.0003069470155465659","10000"
"arfa-qwen2.5-coder:14b-8k","arfa-gemma3:12b-8k","200","0.4","0.315","0.085","0.025","0.145","28","11","0.009475304279476404","10000"
"arfa-qwen2.5-coder:14b-8k","arfa-phi4-mini:3.8b-8k","200","0.4","0.125","0.275","0.205","0.345","62","7","4.102799046681871e-12","10000"
"arfa-qwen2.5-coder:14b-8k","arfa-phi4:14b-8k","200","0.4","0.255","0.145","0.08","0.21","39","10","3.845911694355664e-05","10000"
"arfa-llama3.2:3b-8k","arfa-gemma3:4b-8k","200","0.18","0.26","-0.08","-0.145","-0.015","15","31","0.02589608179323477","10000"
"arfa-llama3.2:3b-8k","arfa-gemma3:12b-8k","200","0.18","0.315","-0.135","-0.2","-0.07","11","38","0.00014197068519905542","10000"
"arfa-llama3.2:3b-8k","arfa-phi4-mini:3.8b-8k","200","0.18","0.125","0.055","0.0","0.115","23","12","0.0895310789346695","10000"
"arfa-llama3.2:3b-8k","arfa-phi4:14b-8k","200","0.18","0.255","-0.075","-0.145","-0.01","17","32","0.04438416098714981","10000"
"arfa-gemma3:4b-8k","arfa-gemma3:12b-8k","200","0.26","0.315","-0.055","-0.125","0.015","20","31","0.16077960181198847","10000"
"arfa-gemma3:4b-8k","arfa-phi4-mini:3.8b-8k","200","0.26","0.125","0.135","0.08","0.19","32","5","7.427530363202095e-06","10000"
"arfa-gemma3:4b-8k","arfa-phi4:14b-8k","200","0.26","0.255","0.005","-0.065","0.075","26","25","1.0","10000"
"arfa-gemma3:12b-8k","arfa-phi4-mini:3.8b-8k","200","0.315","0.125","0.19","0.125","0.255","44","6","3.243740565039843e-08","10000"
"arfa-gemma3:12b-8k","arfa-phi4:14b-8k","200","0.315","0.255","0.06","-0.005","0.13","30","18","0.11140289106101875","10000"
"arfa-phi4-mini:3.8b-8k","arfa-phi4:14b-8k","200","0.125","0.255","-0.13","-0.19","-0.07","8","34","6.877111491121468e-05","10000"
