"model","tasks","successes","success_rate","success_ci95_low","success_ci95_high","mean_reward","total_model_calls","mean_model_calls","total_tokens","mean_tokens","total_model_latency_seconds","mean_model_latency_seconds","total_task_wall_seconds","mean_task_wall_seconds","max_steps_rate","parse_error_steps","recovered_format_steps","hard_parse_failure_steps","nonzero_exit_steps","repeated_actions","complete_200","task_category"
"arfa-qwen2.5-coder:7b-8k","13","3","0.23076923076923078","0.08179379092465713","0.5025687399512693","0.7484615384615385","52","4.0","58008","4462.153846153846","519.6072446638941","39.969788051068775","537.5455725429861","41.349659426383546","0.07692307692307693","0","0","0","13","11","False","compute"
"arfa-qwen2.5-coder:7b-8k","4","0","0.0","0.0","0.48990002040399916","0.5175","20","5.0","24562","6140.5","155.7120941663161","38.92802354157902","162.757753750775","40.68943843769375","0.25","0","0","0","4","9","False","copy_or_move"
"arfa-qwen2.5-coder:7b-8k","29","5","0.1724137931034483","0.07597745271479928","0.34548800572815114","0.7372413793103453","157","5.413793103448276","165581","5709.689655172414","1082.8507570826016","37.3396812787104","1118.826352246733","38.58021904299079","0.27586206896551724","12","0","12","14","67","False","count"
"arfa-qwen2.5-coder:7b-8k","13","6","0.46153846153846156","0.2320575430148814","0.7085656756816796","0.78","66","5.076923076923077","67576","5198.153846153846","533.7456301736354","41.05735616720272","552.8169548327312","42.52438114097932","0.23076923076923078","6","6","0","11","25","False","create_or_modify"
"arfa-qwen2.5-coder:7b-8k","28","9","0.32142857142857145","0.1793304754342074","0.5066149544436882","0.7364285714285715","159","5.678571428571429","172892","6174.714285714285","1253.0403055336349","44.7514394833441","1289.165483125107","46.04162439732524","0.2857142857142857","48","0","48","5","33","False","delete"
"arfa-qwen2.5-coder:7b-8k","42","12","0.2857142857142857","0.1716685874457567","0.43567496077245566","0.7964285714285717","221","5.261904761904762","332857","7925.166666666667","2143.172493422349","51.027916510055924","2203.0420125416395","52.45338125099141","0.2857142857142857","39","17","22","14","104","False","inspect"
"arfa-qwen2.5-coder:7b-8k","38","8","0.21052631578947367","0.1107466035209593","0.36346088376442165","0.7026315789473687","199","5.2368421052631575","229959","6051.5526315789475","1634.117671879396","43.00309662840516","1740.224373956674","45.79537826201774","0.23684210526315788","20","14","6","41","76","False","other"
"arfa-qwen2.5-coder:7b-8k","33","9","0.2727272727272727","0.15067272656322814","0.44217883254386814","0.7763636363636366","181","5.484848484848484","234451","7104.575757575758","1785.9793028401136","54.1205849345489","1854.3956433304352","56.19380737364955","0.30303030303030304","6","2","4","26","100","False","search"
"arfa-llama3.1:8b-8k","13","3","0.23076923076923078","0.08179379092465713","0.5025687399512693","0.7030769230769232","35","2.6923076923076925","25584","1968.0","539.6391740010013","41.51070569238471","556.133027415","42.77946364730769","0.0","0","0","0","5","1","False","compute"
"arfa-llama3.1:8b-8k","4","0","0.0","0.0","0.48990002040399916","0.46","24","6.0","26008","6502.0","298.1751603730013","74.54379009325032","303.3595805009995","75.83989512524988","0.25","14","0","14","1","2","False","copy_or_move"
"arfa-llama3.1:8b-8k","29","9","0.3103448275862069","0.17275424489768068","0.49230470472718546","0.7827586206896555","110","3.793103448275862","76043","2622.1724137931033","1302.1045839590006","44.90015806755174","1342.7181196620045","46.30062481593119","0.0","15","0","15","6","14","False","count"
"arfa-llama3.1:8b-8k","13","3","0.23076923076923078","0.08179379092465713","0.5025687399512693","0.6092307692307691","70","5.384615384615385","68804","5292.615384615385","835.8664644170067","64.29742033976974","858.078769999006","66.00605923069277","0.07692307692307693","10","0","10","23","15","False","create_or_modify"
"arfa-llama3.1:8b-8k","28","12","0.42857142857142855","0.2650829618073122","0.609295210143846","0.7696428571428574","92","3.2857142857142856","63566","2270.214285714286","1125.7407193370063","40.20502569060737","1187.5667939159985","42.413099782714234","0.03571428571428571","19","0","19","6","5","False","delete"
