"split","base_model","peer_model","group","threshold","paired_tasks","base_success_rate","peer_success_rate","peer_minus_base_success"
"shadow_development","arfa-llama3.1:8b-8k","arfa-qwen2.5-coder:14b-8k","all","0.35","40","0.225","0.5","0.275"
"shadow_development","arfa-llama3.1:8b-8k","arfa-qwen2.5-coder:14b-8k","low_first_residual","0.35","36","0.2222222222222222","0.5","0.2777777777777778"
"shadow_development","arfa-llama3.1:8b-8k","arfa-qwen2.5-coder:14b-8k","high_first_residual","0.35","4","0.25","0.5","0.25"
"shadow_development","arfa-llama3.1:8b-8k","arfa-qwen2.5-coder:7b-8k","all","0.35","40","0.225","0.325","0.1"
"shadow_development","arfa-llama3.1:8b-8k","arfa-qwen2.5-coder:7b-8k","low_first_residual","0.35","36","0.2222222222222222","0.3611111111111111","0.1388888888888889"
"shadow_development","arfa-llama3.1:8b-8k","arfa-qwen2.5-coder:7b-8k","high_first_residual","0.35","4","0.25","0","-0.25"
"shadow_development","arfa-qwen2.5-coder:14b-8k","arfa-llama3.1:8b-8k","all","0.35","40","0.5","0.225","-0.275"
"shadow_development","arfa-qwen2.5-coder:14b-8k","arfa-llama3.1:8b-8k","low_first_residual","0.35","34","0.5294117647058824","0.23529411764705882","-0.29411764705882354"
"shadow_development","arfa-qwen2.5-coder:14b-8k","arfa-llama3.1:8b-8k","high_first_residual","0.35","6","0.3333333333333333","0.16666666666666666","-0.16666666666666666"
"shadow_development","arfa-qwen2.5-coder:14b-8k","arfa-qwen2.5-coder:7b-8k","all","0.35","40","0.5","0.325","-0.175"
"shadow_development","arfa-qwen2.5-coder:14b-8k","arfa-qwen2.5-coder:7b-8k","low_first_residual","0.35","34","0.5294117647058824","0.38235294117647056","-0.1470588235294118"
"shadow_development","arfa-qwen2.5-coder:14b-8k","arfa-qwen2.5-coder:7b-8k","high_first_residual","0.35","6","0.3333333333333333","0","-0.3333333333333333"
"shadow_development","arfa-qwen2.5-coder:7b-8k","arfa-llama3.1:8b-8k","all","0.35","40","0.325","0.225","-0.1"
